iter	Logloss
0	0.624744451
1	0.5824391494
2	0.55645882
3	0.5437123325
4	0.5339971004
5	0.5270136132
6	0.5175160456
7	0.5115834697
8	0.5078071233
9	0.504875972
10	0.5015119424
11	0.4997643445
12	0.4977010194
13	0.4962444858
14	0.4954219963
15	0.4947921508
16	0.4940983011
17	0.4933214998
18	0.4927707841
19	0.4922650634
20	0.4919681445
21	0.4915915165
22	0.4912407247
23	0.4909624604
24	0.4904753754
25	0.4902412657
26	0.489934055
27	0.4896489293
28	0.4894808925
29	0.4893211425
30	0.4891194572
31	0.4889327807
32	0.4887557366
33	0.4885946928
34	0.488479773
35	0.4883818459
36	0.4882352355
37	0.4880874747
38	0.4879583957
39	0.4878581782
40	0.4876790347
41	0.4875540925
42	0.4873810583
43	0.4873066718
44	0.4871970364
45	0.4871262985
46	0.4870165599
47	0.4869088233
48	0.4867939653
49	0.4867210124
50	0.4865844544
51	0.4864706034
52	0.4863484604
53	0.4862598918
54	0.4862031753
55	0.4861546369
56	0.4860769142
57	0.4859910036
58	0.4859158994
59	0.485830073
60	0.4857399614
61	0.4855889186
62	0.485518024
63	0.4854524075
64	0.4853880372
65	0.4853166937
66	0.4852255688
67	0.4851525557
68	0.4851024615
69	0.4850651421
70	0.4850211787
71	0.4849545341
72	0.4849232192
73	0.4848531607
74	0.4847881967
75	0.4847112336
76	0.4846596736
77	0.4845783709
78	0.4845028411
79	0.4844375776
80	0.4843944761
81	0.4843154489
82	0.4842798369
83	0.4842400677
84	0.4842176102
85	0.4841412092
86	0.4840517515
87	0.4839866297
88	0.4839389628
89	0.4838831045
90	0.4838130858
91	0.4837630897
92	0.4837258261
93	0.4836899881
94	0.4835973628
95	0.4835437204
96	0.4834519555
97	0.4833618347
98	0.4833003949
99	0.4832335123
100	0.4832004531
101	0.4831074861
102	0.4830376601
103	0.4829766702
104	0.4829257993
105	0.4828725594
106	0.4827899665
107	0.4827468779
108	0.4826614121
109	0.4826011965
110	0.4825249907
111	0.4824611886
112	0.4823878466
113	0.4823106403
114	0.4822423659
115	0.4821742636
116	0.4820935778
117	0.4820159576
118	0.481967773
119	0.4818919448
120	0.4818265767
121	0.4817553533
122	0.4816804971
123	0.4816315584
124	0.4815342401
125	0.4814699952
126	0.4814132734
127	0.4813550714
128	0.4812941349
129	0.4812116513
130	0.4811403672
131	0.4810526923
132	0.4809679886
133	0.4808988748
134	0.4808409078
135	0.4807455864
136	0.4806919254
137	0.4806169798
138	0.4805441008
139	0.480437133
140	0.4803751518
141	0.4802975732
142	0.4802260429
143	0.4801710578
144	0.4801022458
145	0.4800220374
146	0.4799624348
147	0.4798991565
148	0.4798448647
149	0.4797971157
150	0.4797550242
151	0.4796727072
152	0.4796224862
153	0.4795386997
154	0.4794900014
155	0.479384601
156	0.4793232726
157	0.479266562
158	0.4792144341
159	0.479140805
160	0.4790697927
161	0.4790149721
162	0.4789647754
163	0.4789052712
164	0.4788265363
165	0.4787275919
166	0.4786326271
167	0.4785438658
168	0.4784462165
169	0.4783803016
170	0.4783044527
171	0.4782210361
172	0.4781648758
173	0.4780694311
174	0.4779843311
175	0.4778959394
176	0.4778113285
177	0.4777411579
178	0.4776821021
179	0.4775947787
180	0.4775500088
181	0.4775231252
182	0.4774471835
183	0.477405648
184	0.4773633109
185	0.4773253552
186	0.4772702112
187	0.4771790569
188	0.4771003564
189	0.4770270743
190	0.4769836337
191	0.4769176659
192	0.4768692394
193	0.4768138324
194	0.4767740779
195	0.476743757
196	0.4766863744
197	0.4766523912
198	0.4765862423
199	0.4765330772
200	0.476488555
201	0.4764303782
202	0.4763662973
203	0.4763177254
204	0.4762489456
205	0.476184185
206	0.4761428813
207	0.4760730067
208	0.476018904
209	0.4759416998
210	0.4758690002
211	0.4758191107
212	0.4757742662
213	0.4757263569
214	0.4756678227
215	0.4756125814
216	0.4755679329
217	0.4755345176
218	0.4754576809
219	0.4753790717
220	0.4753054463
221	0.4752471087
222	0.4752015006
223	0.4751551394
224	0.4751092038
225	0.4750379939
226	0.4749783426
227	0.4749125225
228	0.4748467461
229	0.4747854759
230	0.4746984591
231	0.474648626
232	0.4745977728
233	0.4745313498
234	0.4744562461
235	0.4743828117
236	0.4743470803
237	0.4742995583
238	0.4742642681
239	0.4742307656
240	0.4741837759
241	0.4741528126
242	0.47410839
243	0.4740428785
244	0.4740058252
