iter	Passed	Remaining
0	29	12768
1	46	10079
2	63	9236
3	81	8881
4	98	8565
5	117	8487
6	134	8308
7	152	8223
8	169	8116
9	187	8041
10	203	7939
11	221	7906
12	237	7814
13	254	7729
14	271	7696
15	288	7634
16	305	7599
17	321	7547
18	337	7485
19	355	7467
20	372	7440
21	389	7403
22	407	7383
23	423	7335
24	438	7283
25	454	7238
26	471	7213
27	488	7194
28	506	7172
29	522	7138
30	540	7130
31	559	7129
32	575	7101
33	593	7092
34	610	7063
35	629	7060
36	644	7025
37	664	7033
38	681	7006
39	696	6964
40	713	6946
41	730	6924
42	746	6893
43	763	6869
44	779	6843
45	795	6816
46	814	6809
47	831	6787
48	847	6765
49	871	6798
50	888	6776
51	905	6752
52	922	6734
53	942	6736
54	958	6711
55	976	6692
56	991	6665
57	1008	6640
58	1024	6615
59	1040	6586
60	1057	6567
61	1072	6540
62	1097	6564
63	1114	6548
64	1131	6525
65	1149	6511
66	1166	6494
67	1183	6472
68	1198	6445
69	1215	6423
70	1231	6401
71	1248	6378
72	1263	6352
73	1280	6331
74	1296	6310
75	1313	6293
76	1331	6278
77	1346	6249
78	1362	6226
79	1379	6207
80	1395	6184
81	1410	6159
82	1425	6133
83	1440	6105
84	1456	6082
85	1473	6066
86	1489	6043
87	1507	6031
88	1524	6011
89	1540	5989
90	1556	5967
91	1571	5944
92	1587	5924
93	1603	5902
94	1620	5883
95	1634	5857
96	1651	5839
97	1667	5817
98	1682	5796
99	1699	5778
100	1716	5761
101	1734	5746
102	1750	5726
103	1766	5707
104	1783	5690
105	1798	5666
106	1816	5651
107	1831	5631
108	1848	5612
109	1866	5598
110	1882	5579
111	1900	5564
112	1917	5547
113	1934	5531
114	1948	5506
115	1965	5490
116	1982	5473
117	1999	5455
118	2014	5435
119	2030	5413
120	2045	5391
121	2061	5373
122	2077	5354
123	2093	5336
124	2110	5317
125	2128	5304
126	2147	5291
127	2164	5276
128	2180	5256
129	2196	5238
130	2212	5219
131	2229	5202
132	2245	5182
133	2260	5162
134	2276	5143
135	2293	5127
136	2309	5108
137	2325	5089
138	2341	5070
139	2358	5054
140	2375	5037
141	2391	5017
142	2406	4998
143	2422	4979
144	2438	4961
145	2454	4943
146	2470	4924
147	2487	4907
148	2503	4889
149	2520	4872
150	2537	4856
151	2553	4838
152	2569	4820
153	2586	4803
154	2602	4785
155	2618	4766
156	2637	4753
157	2654	4737
158	2670	4718
159	2686	4701
160	2703	4684
161	2718	4665
162	2734	4647
163	2753	4634
164	2769	4615
165	2785	4598
166	2801	4579
167	2818	4563
168	2835	4546
169	2852	4530
170	2868	4511
171	2883	4493
172	2900	4476
173	2917	4459
174	2933	4441
175	2949	4424
176	2967	4409
177	2983	4391
178	3000	4375
179	3017	4358
180	3032	4339
181	3048	4320
182	3064	4303
183	3079	4284
184	3096	4267
185	3112	4250
186	3129	4234
187	3146	4217
188	3162	4200
189	3180	4185
190	3197	4168
191	3212	4149
192	3227	4131
193	3243	4113
194	3260	4096
195	3275	4078
196	3292	4061
197	3308	4044
198	3326	4028
199	3342	4011
200	3359	3994
201	3377	3979
202	3394	3962
203	3410	3944
204	3426	3928
205	3443	3911
206	3459	3893
207	3475	3876
208	3492	3860
209	3509	3843
210	3525	3825
211	3543	3810
212	3558	3792
213	3575	3775
214	3592	3759
215	3607	3741
216	3623	3724
217	3640	3707
218	3658	3691
219	3673	3673
220	3690	3656
221	3706	3639
222	3722	3622
223	3739	3606
224	3756	3589
225	3772	3572
226	3789	3555
227	3805	3538
228	3822	3521
229	3837	3503
230	3854	3487
231	3871	3470
232	3890	3456
233	3907	3440
234	3927	3425
235	3946	3411
236	3963	3395
237	3979	3377
238	3996	3361
239	4012	3343
240	4027	3325
241	4043	3308
242	4059	3290
243	4076	3274
244	4095	3259
245	4111	3242
246	4127	3225
247	4145	3209
248	4161	3192
249	4177	3175
250	4193	3158
251	4209	3140
252	4226	3123
253	4241	3106
254	4258	3089
255	4274	3072
256	4290	3055
257	4306	3038
258	4322	3020
259	4340	3004
260	4359	2990
261	4373	2971
262	4392	2956
263	4408	2938
264	4424	2922
265	4441	2905
266	4459	2889
267	4476	2873
268	4494	2857
269	4511	2840
270	4527	2823
271	4545	2807
272	4561	2790
273	4576	2772
274	4593	2756
275	4609	2738
276	4625	2721
277	4642	2705
278	4658	2688
279	4675	2671
280	4692	2655
281	4707	2637
282	4722	2619
283	4740	2603
284	4758	2587
285	4774	2570
286	4790	2553
287	4807	2537
288	4824	2520
289	4842	2504
290	4860	2488
291	4876	2471
292	4892	2454
293	4908	2437
294	4924	2420
295	4939	2403
296	4957	2386
297	4973	2369
298	4989	2352
299	5005	2336
300	5028	2322
301	5043	2304
302	5061	2288
303	5078	2271
304	5094	2254
305	5110	2237
306	5127	2221
307	5142	2203
308	5158	2186
309	5173	2169
310	5190	2152
311	5208	2136
312	5225	2120
313	5242	2103
314	5259	2086
315	5275	2069
316	5291	2053
317	5308	2036
318	5324	2019
319	5339	2002
320	5358	1986
321	5388	1974
322	5405	1957
323	5421	1941
324	5438	1924
325	5454	1907
326	5471	1890
327	5486	1873
328	5504	1856
329	5522	1840
330	5540	1824
331	5555	1807
332	5572	1790
333	5588	1773
334	5604	1756
335	5620	1739
336	5635	1722
337	5651	1705
338	5668	1688
339	5686	1672
340	5701	1655
341	5718	1638
342	5734	1621
343	5752	1605
344	5769	1588
345	5785	1571
346	5801	1554
347	5816	1537
348	5832	1520
349	5857	1506
350	5875	1489
351	5892	1473
352	5908	1456
353	5925	1439
354	5943	1423
355	5959	1406
356	5975	1389
357	5991	1372
358	6009	1355
359	6024	1338
360	6040	1321
361	6059	1305
362	6078	1289
363	6096	1272
364	6112	1256
365	6129	1239
366	6144	1222
367	6162	1205
368	6179	1189
369	6194	1171
370	6211	1155
371	6229	1138
372	6246	1121
373	6261	1105
374	6276	1087
375	6292	1071
376	6308	1054
377	6325	1037
378	6340	1020
379	6357	1003
380	6375	987
381	6393	970
382	6409	953
383	6428	937
384	6445	920
385	6461	903
386	6477	887
387	6493	870
388	6509	853
389	6525	836
390	6541	819
391	6558	803
392	6574	786
393	6591	769
394	6606	752
395	6622	735
396	6637	718
397	6655	702
398	6671	685
399	6688	668
400	6704	652
401	6719	635
402	6734	618
403	6749	601
404	6766	584
405	6781	567
406	6798	551
407	6814	534
408	6835	518
409	6850	501
410	6867	484
411	6885	467
412	6902	451
413	6922	434
414	6941	418
415	6958	401
416	6976	384
417	6996	368
418	7022	351
419	7040	335
420	7057	318
421	7075	301
422	7090	284
423	7107	268
424	7124	251
425	7142	234
426	7158	217
427	7174	201
428	7190	184
429	7207	167
430	7225	150
431	7241	134
432	7257	117
433	7274	100
434	7289	83
435	7305	67
436	7322	50
437	7338	33
438	7356	16
439	7372	0
